project,target,configuration,hash,code,status,start,end
native-federation-runtime,build,production,2175798618588820031,0,success,1732199067134,1732199067899
native-federation-node,build,,12747913682894645100,0,success,1732199067900,1732199068561
native-federation-core,build,,17391493396750686350,0,success,1732199067900,1732199068666
native-federation,build,,7348835697964147115,1,failure,1732199068667,1732199069701
native-federation-runtime,build,production,3402818938037151998,0,success,1732199088301,1732199089104
native-federation-node,build,,4897284389428853532,0,success,1732199089105,1732199089747
native-federation-core,build,,16034841916945585094,0,success,1732199089105,1732199089862
native-federation,build,,766606714732167348,0,success,1732199089863,1732199091129
native-federation-runtime,build,production,3402818938037151998,0,local-cache-kept-existing,1732199110572,1732199110586
native-federation-core,build,,16034841916945585094,0,local-cache-kept-existing,1732199110588,1732199110591
native-federation-node,build,,4897284389428853532,0,local-cache-kept-existing,1732199110588,1732199110591
native-federation,build,,766606714732167348,0,local-cache-kept-existing,1732199110593,1732199110598
native-federation,post-build,,5203231152377633288,0,success,1732199110599,1732199110629
native-federation-esbuild,build,,4633671712142389033,0,success,1732199110593,1732199111208
native-federation-runtime,publish-local,,8569510156743143091,0,success,1732199110588,1732199111497
native-federation-core,publish-local,,13834470927055367895,0,success,1732199110629,1732199111521
native-federation,publish-local,,13728400506682485955,0,success,1732199111497,1732199112359
native-federation-esbuild,publish-local,,15408103942253055377,0,success,1732199111521,1732199112367
native-federation-node,publish-local,,11990227621320741217,0,success,1732199111210,1732199112636
native-federation-runtime,build,production,3402818938037151998,0,local-cache-kept-existing,1732199150308,1732199150324
native-federation-node,build,,4897284389428853532,0,local-cache-kept-existing,1732199150326,1732199150328
native-federation-core,build,,16034841916945585094,0,local-cache-kept-existing,1732199150325,1732199150330
native-federation-runtime,publish-local,,8569510156743143091,0,success,1732199150325,1732199151052
native-federation-esbuild,build,,4633671712142389033,0,local-cache-kept-existing,1732199151052,1732199151054
native-federation,build,,5331413738889001672,0,success,1732199150332,1732199151725
native-federation-core,publish-local,,13834470927055367895,0,success,1732199151055,1732199151739
native-federation,post-build,,3491572012647195995,0,success,1732199151726,1732199151757
native-federation-esbuild,publish-local,,15408103942253055377,0,success,1732199151739,1732199152374
native-federation,publish-local,,6938476508232247399,0,success,1732199151757,1732199152432
native-federation-node,publish-local,,11990227621320741217,0,success,1732199150329,1732199152462
native-federation-runtime,build,production,3402818938037151998,0,local-cache-kept-existing,1732199320007,1732199320029
native-federation-node,build,,4897284389428853532,0,local-cache-kept-existing,1732199320031,1732199320044
native-federation-core,build,,8031760066538775877,0,success,1732199320031,1732199321634
native-federation-runtime,publish-local,,8569510156743143091,0,success,1732199320031,1732199321700
native-federation-esbuild,build,,4721157014064100417,0,success,1732199321700,1732199322507
native-federation-node,publish-local,,11990227621320741217,0,success,1732199320047,1732199322513
native-federation,build,,6313324292518751940,0,success,1732199321636,1732199323204
native-federation,post-build,,6321905536662345490,0,success,1732199323204,1732199323236
native-federation-core,publish-local,,14250161000287765391,0,success,1732199322508,1732199323331
native-federation-esbuild,publish-local,,11913768477799435756,0,success,1732199322513,1732199323372
native-federation,publish-local,,7907661274743735213,0,success,1732199323237,1732199324013
